Title,Rarity,Edge,Mintage,Engraver,Times Issued,Composition,Currency,Demonetized,Diameter,Orientation,Shape,Type,Issuer,Technique,Thickness,Weight,Year,Historical Figure,Century
25 Pesetas Ceuta,5,Plain,184360000.0,1,1,Bimetallic,Peseta (1868-2001),1,19.5,Coin alignment ↑↓,1,Circulating commemorative coin,Spain,Milled,1.6,4.2,1998,1,19
10 Centimes,37,Plain,-1.0,0,0,Other,Franc (1914-1925),1,22.5,Coin alignment ↑↓,0,Token/Medal,Department of Eure-et-Loir,Milled,1.5,1.42,1922,0,19
½ Sol de Oro Large Coat of Arms,7,Reeded,13720000.0,1,8,Brass,Sol (1863-1985),1,22.5,Coin alignment ↑↓,0,Standard circulation coin,Peru,Milled,1.5,4.16,1966.0,0,unknown
5 Pesos,7,Special,146268000.0,0,5,Bimetallic,Peso decimalized (1847-date),0,26.0,Coin alignment ↑↓,0,Standard circulation coin,Colombia,Milled,1.86,9.0,1980.0,0,unknown
"¼ Dollar ""Washington Quarter"" New Mexico",5,Reeded,244400000.0,1,5,Bimetallic,Dollar (1785-date),0,24.26,Coin alignment ↑↓,0,Circulating commemorative coin,United States,Milled,1.75,5.67,2008,0,20
20 Toea - Elizabeth II,8,Reeded,15500000.0,0,21,Bimetallic,Kina (1975-date),0,28.65,Medal alignment ↑↑,0,Standard circulation coin,Papua New Guinea,Milled,2.32,11.3,1975.0,1,unknown
"50 Cents - George V w/o ""DEI GRATIA""",36,Reeded,209972.0,1,1,Bimetallic,Canadian dollar (1858-date),0,29.72,Medal alignment ↑↑,0,Standard circulation coin,Canada - Royal Canadian Mint,Milled,1.8,11.6638,1911,1,19
50 Centavos,8,Reeded,3596000.0,0,9,Bimetallic,Peso decimalized (1847-date),1,30.5,Coin alignment ↑↓,0,Standard circulation coin,Colombia,Milled,3.2,12.5,1958.0,0,unknown
100 Francs Fraternity,9,Smooth,20000.0,1,3,Silver,New franc (1960-2001),1,31.0,Coin alignment ↑↓,0,Circulating commemorative coin,France,Milled,2.3,15.0,1988,0,19
50 Euro Cent - Benedictus XVI 1st map,28,Special,85000.0,1,4,Bimetallic,Euro (2002-date),0,24.25,Medal alignment ↑↑,0,Non-circulating coin,Vatican City,Milled,2.38,7.8,2006.0,1,unknown
1 Cent - Elizabeth II,6,Smooth,24500000.0,0,11,Bimetallic,Dollar (1964-date),1,17.8,Medal alignment ↑↑,0,Standard circulation coin,Trinidad and Tobago,Milled,1.08,1.95,1966.0,1,unknown
25 Centavos,7,Reeded,77060000.0,0,4,Bimetallic,Peso (1863-1992),1,21.5,Coin alignment ↑↓,0,Standard circulation coin,Mexico,Milled,1.3,3.33,1950.0,0,unknown
100 Fils - Isa,5,Reeded,8300000.0,0,2,Bimetallic,Dinar (1965-date),0,25.0,Medal alignment ↑↑,0,Standard circulation coin,Bahrain,Milled,1.78,6.5,1965,1,19
